,TAU(MFT),wind,sst,airT,Pressure,TAU(obs),NN
0,0.418911963701248,9.7492,6.6,3.6437,1008.4945,0.5126,0.3960663979569783
1,0.5140840411186219,11.1145,6.6,3.5982,1008.4091,0.4653,0.479036376683126
2,0.57229083776474,11.9158,6.5943,2.8149,1006.9865,0.6315,0.5295040509993412
3,0.5695544481277471,11.8779,6.5929,2.7936,1006.9581,0.5274,0.5272584737979067
4,1.10192453861237,18.4902,6.5972,2.7112,1002.7028,0.9983,0.9736073841280775
5,0.8042952418327328,14.9859,6.1,5.2,1007.5507,0.7134,0.7370412151233889
6,1.0134701728820799,17.500999999999998,6.0972,5.2141,1008.1028,0.7844,0.8926319213092097
7,0.896031200885773,16.1135,6.0957,5.2213,1008.1042,0.8265,0.8062786904624608
8,0.8935260772705079,16.0873,6.0,5.7014,1008.2199,0.7404,0.8095499418441006
9,0.927525341510773,16.4955,6.0,5.7028,1008.2398,0.7211,0.8349433110948707
10,0.8215307593345641,15.2054,6.0,5.7043,1008.2597,0.6962,0.7545482551178422
11,0.841638267040253,15.4542,6.0,5.7099,1008.3392,0.6947,0.7699106621958438
12,0.917516946792603,16.3765,6.0,5.7915,1009.693,0.6923,0.8249516506265535
13,0.7370705604553219,14.1398,6.0,5.7873,1009.74,0.6133,0.6854897803491599
14,0.763049840927124,14.4708,6.0,5.7,1010.6998,0.6753,0.7033271917478524
15,0.7274141311645509,14.0149,6.0,5.7014,1010.7225,0.6334,0.6748883507447266
16,0.7426331043243409,14.2104,6.0,5.7028,1010.7452,0.6365,0.6870261943127337
17,0.8426688909530641,15.4669,6.0,5.7085,1010.8363,0.7132,0.7651342740771425
18,0.828977465629578,15.2985,6.0,5.8,1012.3,0.7686,0.752062764263481
19,0.7265271544456479,14.0052,6.0,5.8999,1012.9994,0.6245,0.6706831595556845
20,0.668118119239807,13.2438,6.0,5.9,1013.0221,0.6442,0.6232049680207504
21,0.84803718328476,15.5344,6.0,5.9,1013.0563,0.6141,0.7658127072119867
22,0.7624622583389279,14.465,6.0,5.9,1013.0677,0.6645,0.6991733389801701
23,0.679289400577545,13.3908,6.0128,5.9128,1013.9662,0.5736,0.6301393023943022
24,0.580442547798157,12.0672,6.1,6.0,1015.1,0.5379999999999999,0.5443405812105893
25,0.549021661281586,11.6354,6.0929,5.9929,1015.1568,0.5894,0.5173840801321983
26,0.536494016647339,11.4617,6.0001,5.9001,1015.8994,0.45799999999999996,0.5057918098767951
27,0.655228197574616,13.0734,6.0,5.9,1015.9249,0.5165,0.6061305203370096
28,0.543475806713104,11.5586,6.0,5.9,1015.9505,0.4722,0.5117149688427813
29,0.5453016757965089,11.5839,6.0,5.9,1015.9761,0.4746,0.5132340116353622
30,0.40239834785461404,9.5477,5.9957,5.9,1016.8255,0.3673,0.39212920609364943
31,0.427301079034805,9.9109,5.9929,5.9,1016.8426,0.4082,0.4081072866821597
32,0.403559118509293,9.5661,5.8957,5.9,1017.4171,0.3868,0.3929430294969022
33,0.46663656830787703,10.4786,5.8901,5.9,1017.4398,0.4023,0.44298048237088683
34,0.46296179294586204,10.4261,5.8872,5.9,1017.4512,0.4264,0.43973357798481205
35,0.48870608210563704,10.7935,5.8028,5.8945,1017.7917,0.4251,0.4632450247843842
36,0.43237015604972795,9.9866,5.8085,5.8831,1017.7746,0.3652,0.4128398365307566
37,0.48092284798622104,10.6828,5.8113,5.8774,1017.7661,0.377,0.45613643157740674
38,0.38312491774559004,9.2626,5.9,5.7,1017.5284,0.4062,0.377501540276939
39,0.4014841020107271,9.5328,5.9,5.7,1017.9,0.3714,0.38901203836652615
40,0.37912693619728105,9.2035,5.9,5.7,1017.9298,0.3478,0.37502327601208535
41,0.36479914188384993,8.9909,5.9,5.7,1018.6107,0.3648,0.36615141776207055
42,0.40231579542159995,9.545,5.9,5.7,1018.6221,0.2992,0.38932706751606955
43,0.378356069326401,9.1921,5.9,5.7,1018.6335,0.3243,0.3745674537496119
44,0.361756891012192,8.9456,5.9,5.7,1018.6449,0.3492,0.3642578689365858
45,0.353991568088532,8.8297,5.9,5.7,1018.679,0.2653,0.3594112666359181
46,0.290734052658081,7.8704,5.9,5.7,1018.6904,0.3293,0.3192887629567711
47,0.32062166929245,8.3272,5.9,5.7,1018.7018,0.324,0.3383947941646352
48,0.337328672409058,8.5796,5.9,5.6929,1019.3432,0.3316,0.34896845725165443
49,0.31691282987594604,8.2707,5.9,5.6886,1019.3091,0.2829,0.3360463577459824
50,0.26939699053764304,7.5379,5.9,5.6,1018.6,0.2434,0.30534962926276565
51,0.24277949333190899,7.1185,5.9,5.6,1018.6171,0.2381,0.2878086448147579
52,0.242339953780174,7.1115,5.9,5.6,1018.6227,0.235,0.287515979338107
53,0.152032136917114,5.5599,5.9,5.7,1018.3001,0.1936,0.2226401611094819
54,0.16495902836322798,5.8167,5.9,5.7,1018.2986,0.2175,0.23338083364360696
55,0.174949318170547,5.9944,5.9,5.7,1018.2943,0.1753,0.24081300480475032
56,0.19221676886081698,6.2923,5.9,5.7,1018.2886,0.1465,0.25327261398034334
57,0.141079351305962,5.1883,5.9,5.7,1018.1929,0.1608,0.2070948324093704
58,0.125074580311775,4.6337,5.9,5.7,1018.1858,0.1921,0.18389834636890473
59,0.15344250202179002,5.6057,5.9,5.7,1018.1503,0.1596,0.2245513432693014
60,0.15796925127506303,5.6895,5.9,5.7,1017.7004,0.1642,0.22804302842773472
61,0.155262067914009,5.6396,5.8987,5.7027,1017.7,0.2246,0.22596278510770001
62,0.12636528909206401,4.6784,6.1999,6.3999,1014.1013,0.1596,0.184430344179768
63,0.12054020911455199,4.4733,6.2,6.404,1014.0866,0.1667,0.1758523824342697
64,0.12683700025081598,4.6949,6.2,6.4254,1014.0154,0.1498,0.18537461094315444
65,0.13256274163723,4.8944,6.2,6.4382,1013.9727,0.1535,0.1943194645862395
66,0.16844916343689,5.8925,6.2,6.7042,1013.0817,0.1837,0.24172707719020997
67,0.201179772615433,6.4569,6.2,6.7298,1012.9708,0.2361,0.2669192189785719
68,0.270929545164108,7.5811,6.2,7.0028,1011.7787,0.2749,0.32024796163223157
69,0.254161059856415,7.3187,6.2,7.0085,1011.7361,0.2762,0.30880268522271126
70,0.304255574941635,8.0948,6.2,7.0142,1011.6934,0.2794,0.3430451615047942
71,0.28279718756675704,7.7654,6.2,7.0199,1011.6508,0.2936,0.32865241683911095
72,0.43947035074234003,10.1017,6.2,7.2113,1010.0852,0.376,0.44032802766304446
73,0.525036633014679,11.3161,6.1915,7.3085,1008.2552,0.4933,0.5209084673179143
74,0.574709892272949,12.0018,6.1901,7.3099,1008.2310000000001,0.4284,0.5637093000868945
75,0.6389950513839721,12.8711,6.1,7.4028,1006.6801,0.5407,0.6235168284133804
76,0.633572518825531,12.7988,6.1,7.4043,1006.6702,0.4824,0.6190461911416055
77,0.6345753669738771,12.8122,6.1,7.4057,1006.6602,0.5584,0.6199136554442631
78,0.627204179763794,12.7137,6.1,7.4071,1006.6503,0.544,0.6138102192863969
79,0.617054641246796,12.5776,6.1,7.4085,1006.6403,0.45799999999999996,0.6053648210045787
80,0.729490101337433,14.0562,6.1,7.4999,1006.0006,0.512,0.6995672678971764
81,0.685638248920441,13.4878,6.0888,7.5056,1005.8989999999999,0.5636,0.6646182044170258
82,0.3800368309021,9.2533,5.9999,8.3007,998.5989,0.3935,0.4012112737501292
83,0.419320315122604,9.8274,5.9987,8.2987,998.6067,0.3219,0.4262909132696586
84,0.359226852655411,8.9455,5.992999999999999,8.293,998.6352,0.3423,0.3876181728704315
85,0.445567280054092,10.2061,5.9,8.2,999.0999,0.3361,0.44443396153121595
86,0.447025239467621,10.2273,5.9,8.2213,999.1284,0.3799,0.44528957149146364
87,0.47064882516861,10.5644,6.0,8.2972,999.7,0.3983,0.4709684936134388
88,0.527875006198883,11.3689,6.0,8.2915,999.7,0.4918,0.5245670821346102
89,0.499083399772644,10.9663,6.0,8.2873,999.7,0.3921,0.49791136219805837
90,0.48751357197761497,10.8022,6.0,8.2,999.7,0.3877,0.48907322043347484
91,0.48278769850730896,10.7354,6.0014,8.2028,999.693,0.4004,0.4846644993039794
92,0.487555742263794,10.8029,6.0085,8.217,999.6574,0.4514,0.4893050640148379
93,0.44583222270011896,10.2088,6.0128,8.2256,999.6361,0.4322,0.44991718761292054
94,0.553218901157379,11.7195,6.1,8.3886,999.1886,0.4876,0.5540446370945922
95,0.587071716785431,12.1805,6.0958,8.2,999.0042,0.4946,0.591515119205331
96,0.5639969706535339,11.8656,6.093,8.2,999.007,0.5004,0.5698171132327274
97,0.5811722874641421,12.1003,6.0915,8.2,999.0085,0.5584,0.5856866126041254
98,0.6312658190727231,12.7758,6.0887,8.2,999.0113,0.5651,0.6314895119947911
99,0.6254754066467291,12.6992,6.0,8.1943,999.1113,0.511,0.6189643961789771
100,0.681088149547577,13.4352,6.0,8.1887,999.1227,0.4605,0.6692940129997415
101,0.677456676959992,13.3876,6.0,8.1858,999.1284,0.5251,0.6661367456797355
102,0.7058468461036679,13.7577,6.0,8.183,999.1341,0.5683,0.6914447636651543
103,0.88666957616806,16.0206,6.0,8.0,999.5,0.7746,0.841780075111664
104,0.7709574699401859,14.5896,5.9943,7.9773,999.5341,0.6313,0.7524942623272017
105,0.66866397857666,13.2674,5.9127,7.5873,1000.1636,0.6053,0.6672280746794418
106,0.693993330001831,13.5974,6.0,7.4801,1000.6696,0.5606,0.684393253676243
107,0.7774257659912109,14.6658,6.0,7.3,1001.3,0.6033,0.7482117443507472
108,0.7809012532234191,14.7096,6.0,7.2972,1001.3312,0.5821,0.7508499738476977
109,0.7276371121406559,14.0306,6.0,7.1973,1002.4134,0.4541,0.7054079024025398
110,0.738067805767059,14.1645,6.0,7.1945,1002.4276,0.6353,0.7136965498027993
111,0.773004114627838,14.609000000000002,6.0,7.1802,1002.4988,0.6709,0.7411208414701353
112,0.7233402132987979,13.9751,6.0,7.1774,1002.513,0.5465,0.7015820501706148
113,0.6757932305336,13.355,6.0,7.0057,1003.4595,0.5694,0.6595808383908078
114,0.776002585887909,14.6455,6.0,7.0085,1003.4894,0.5563,0.7399215467672495
115,0.7324132323265079,14.0904,6.0,7.0099,1003.5043,0.6005,0.7053209097667009
116,0.523368120193481,11.2926,6.0,7.1028,1004.4793,0.4042,0.5295594928469198
117,0.5656420588493349,11.8774,6.0,7.1042,1004.4943,0.4459,0.565964087200509
118,0.655226945877075,13.0857,5.9972,7.2028,1005.5249,0.5672,0.6397124133883002
119,0.663212776184082,13.1913,5.9944,7.2056,1005.5505,0.5846,0.646301330461477
120,0.66274094581604,13.1851,5.992999999999999,7.207000000000001,1005.5633,0.5744,0.6459204413211216
121,0.6526346802711489,13.0515,5.9901,7.2099,1005.5889,0.6273,0.6376118239132639
122,0.588920712471008,12.1965,5.9887,7.2113,1005.6017,0.4846,0.5843584703179687
123,0.612521052360535,12.5175,5.9,7.3,1006.3999,0.5166,0.6047291546896595
124,0.649129152297974,13.0066,5.9085,7.2957,1006.4468,0.4811,0.63491614644925
125,0.637461245059967,12.8514,5.9113,7.2943,1006.4624,0.6015,0.6251562839686712
126,0.5868262052536011,12.1696,5.917000000000001,7.2915,1006.4937,0.4881,0.5824997094280946
127,0.547041535377502,11.6213,6.1,7.2,1007.5,0.4917,0.5423427597655219
128,0.517030417919159,11.2041,6.1014,7.2014,1007.5156,0.4024,0.5163069763433838
129,0.617714762687683,12.5844,6.1099,7.2099,1007.6094,0.4775,0.6019977318239171
130,0.623100996017456,12.6567,6.1114,7.2114,1007.6251,0.6156,0.6064522289525648
131,0.573942303657532,11.9911,6.1999,7.2999,1008.5991,0.5602,0.5619843108917537
132,0.57967871427536,12.0694,6.2,7.2958,1008.6461,0.424,0.5667251359832253
133,0.53827702999115,11.4989,6.2,7.2014,1009.7155,0.4521,0.52811070982993
134,0.4635932445526121,10.4478,6.2,7.2071,1009.778,0.3996,0.46253987378549305
135,0.44547149538993797,10.1881,6.2,7.2099,1009.8093,0.4133,0.44631374108205535
136,0.526922106742859,11.3422,6.2,7.3,1010.8,0.3921,0.5166645671415413
137,0.5098087191581729,11.103,6.1986,7.2972,1010.8142,0.4596,0.5017358922148685
138,0.47009068727493303,10.5416,6.1957,7.2915,1010.8426,0.4467,0.46670931957280687
139,0.483254015445709,10.7286,6.1943,7.2886,1010.8568,0.4569,0.47832839887950634
140,0.46615216135978704,10.4854,6.1915,7.2829,1010.8853,0.4177,0.46312091893807733
141,0.41809871792793296,9.7921,6.1,7.0987,1011.8188,0.3853,0.4190169519860629
142,0.34121710062027,8.6569,6.1,7.0944,1011.8786,0.3185,0.36897270566200485
143,0.32586437463760404,8.4243,6.1,6.9986,1013.2098,0.3223,0.3564559334795025
144,0.29324424266815197,7.9276,6.1,6.9972,1013.2198,0.2954,0.33458040872931055
145,0.328576624393463,8.4652,6.1,6.9957,1013.2298,0.301,0.3582066830725725
146,0.37670847773551897,9.1838,6.1,6.9901,1013.2696,0.3105,0.38972560138916584
147,0.265984654426575,7.5039,6.1,6.8957,1013.9256,0.3108,0.3142348008511793
148,0.219758868217468,6.768,6.1,6.8872,1013.9767,0.2188,0.2817251786644899
149,0.208316504955292,6.5787,6.1,6.8,1014.5503,0.2001,0.2719652477934741
150,0.243901893496513,7.1545,6.1,6.8,1014.6186,0.2852,0.29722764935742707
151,0.24428589642047896,7.1606,6.1,6.8,1014.6527,0.2517,0.2974614990582749
152,0.179066628217697,6.0834,6.1,6.8,1015.6998,0.2268,0.24900986084017612
153,0.18236407637596105,6.1405,6.1,6.7943,1015.7454,0.192,0.25142000822979743
154,0.13467115163803098,4.9672,6.1,6.6957,1016.5213,0.1618,0.19805396999117122
155,0.12926447391510001,4.7795,6.1,6.6943,1016.5284,0.1225,0.18977564954689574
156,0.127449005842209,4.7161,6.1,6.6929,1016.5355,0.1406,0.1869654864913769
157,0.12928786873817402,4.7804,6.1056,6.5888,1017.0337,0.1299,0.18928715945235808
